PubChemID,Type,SMILES,covalent
42601513,general,CC(C)C1C=CC(=O)NCCC=CC(C(=O)N1)NC(=O)C(C(C)C)NC(=O)NC(C(C)C)C(=O)O,1
5311211,general,CCCCCC=CC=C1C(C=CC1=O)CC=CCCCC(=O)O,1
265237,general,CC1=C(C(=O)OC(C1)C(C)C2CCC3C2(CCC4C3CC5C6(C4(C(=O)C=CC6O)C)O5)C)CO,1
6438503,general,CC(=CCC1=C(C=CC(=C1O)C(=O)C=CC2=CC=C(C=C2)O)OC)C,1
5318517,general,CC12CCC(C(C1CCC(=C)C2CC=C3C(COC3=O)O)(C)CO)O,1
7251185,general,CC1=CCCC2(C(O2)C3C(CC1)C(=C)C(=O)O3)C,1
6917907,general,CCC(=CC(C)CC=CC(=CC(C)C(=O)C(C)C(C(C)CC(=CC(=O)O)C)O)C)C=CC1C(C=CC(=O)O1)C,1
11719255,general,CC1(C=CC2=C(O1)C=CC3=C2[N+](=C4C3=CC56C(C4(C)C)CC7(CCCN7C5=O)C(=O)N6)[O-])C,1
28032,general,C1=C(C(=O)NC1=O)C2C(C(C(O2)CO)O)O,1
9865731,general,CC1C(C2C=C(C3CC4C(C3C2C1O)C5=C6C(C(CCC4(O6)C)OC5=O)C)C)O,1
312145,general,CC(=O)OC1CC2(C(CCC2=O)C3=C1C4(C(OC(=O)C5=COC(=C54)C3=O)COC)C)C,1
9996986,general,CC12CCC(=O)C3=COC(=C31)C(=O)C4=CC5=C(C=CC(=C5C=C24)O)O,1
370346,general,CC12CCC(=O)C3=COC(=C31)C(=O)C4=C2C=C5C(=O)C=CC(=O)C5=C4,1
3035912,general,CC1=C2C=C(C=C(C2=CC=C1)C(=O)OC(C(=O)NC(=C3C(C(C4N3C4)O)OC(=O)C)C(=O)NCC(=O)C)C5(CO5)C)OC,1
10770715,general,CCC(C(=O)NC(CCCN=C(N)N)C=CC(=O)O)NC(=O)CC(C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C1C(N1)C(=O)O)O,1
446987,general,CC1C(O1)P(=O)(O)O,1
6917655,general,CC(=CCC1C(O1)(C)C2C(C(CCC23CO3)OC(=O)C=CC=CC=CC=CC(=O)O)OC)C,1
123985,general,CC(C)CC(C(=O)NCCCCN=C(N)N)NC(=O)C1C(O1)C(=O)O,1
637511,general,C1=CC=C(C=C1)C=CC=O,1
445434,general,CC1C(NC(=O)C(NC(=O)C(C(NC(=O)C(NC(=O)C(NC(=O)C(=C)N(C(=O)CCC(NC1=O)C(=O)O)C)C)CC(C)C)C(=O)O)C)CCCN=C(N)N)C=CC(=CC(C)C(CC2=CC=CC=C2)OC)C,1
969516,general,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC(=C(C=C2)O)OC)O,1
5470187,general,CC1=CCC(C=CC(=O)C(=CCC1)C)(C)C,1
11497184,general,CCC1C=CC(=O)OC1C=CC(CCN)(C(CC(C=CC=CC2CCCCC2)O)OP(=O)(O)O)O,1
6438891,general,CCC1C=CC(=O)OC1CC(C(C)C(C(C)CC=CC)OC)O,1
101677420,general,CC(=CCOC1=CC=C(C=C1)CCN(C)C(=O)C=CS(=O)(=O)C)C,1
10092280,general,CC(C)CCCCC(=O)NC(CO)C(=O)NC(CC(=C)C)C(=O)C1(CO1)CO,1
11226684,general,CCC(C)C(C(=O)NC(C(C)O)C(=O)NC(CC(C)C)C(=O)C1(CO1)C)NC(=O)C(C(C)CC)N(C)C(=O)C,1
395803,general,C1CC2C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2C1)CC3=CC=CC=C3)CC4=CC=CC=C4)CCCCCC(=O)C5CO5,1
107985,general,CC(C)C12C(O1)C3C4(O3)C5(CCC6=C(C5CC7C4(C2O)O7)COC6=O)C,1
344200,general,CC1=C2C(C(C=C2C(=O)C(C13CC3)(C)O)(C)CO)O,1
115369,general,COC1=C(C(=C2C(=C1)C=C(N2)C(=O)N3CC4CC45C3=CC(=O)C6=C5C=C(N6)C(=O)OC)OC)OC,1
6369652,general,CCC(C)C(C(C)C(=O)C(C)C=C(C)CC(C)C1C(C(=O)O1)C)O,1
6436821,general,CCC1C(OC1=O)C(C)CC(=CC(C)C(=O)C(C)C(C(C)CC)O)C,1
6440895,general,CC(CCCCC1C(C(=O)O1)CO)CC(=CC(=CC(=O)O)C)C,1
9805651,general,CCCCCCC1C(OC1=O)CC(CC=CCC=CCCCCC)OC(=O)C(CC(C)C)NC=O,1
11347535,general,CC12C(C(=O)NC1(C(=O)O2)C(C3CCCC=C3)O)CCCl,1
195004,general,CCCCCCC1C(OC1=O)CC(CCCCC)OC(=O)C(C(C)C)NC=O,1
146354,general,C1=CC(=C(C(=C1)O)O)C(=O)NC2C(OC2=O)CC3=CC=C(C=C3)[N+](=O)[O-],1
9794358,general,CC1C2C(C(=O)O2)(NC1=O)C(C(C)C)O,1
16095274,general,CC(=CCC12C=C(CC1OC2=O)CO)C,1
9881937,general,CC(=O)NC1CON(C1=O)C2(CCC(=O)O2)C(=O)O,1
5983,general,CC12CCN(C1N(C3=C2C=C(C=C3)OC(=O)NC)C)C,1
294641,general,C1C(ON=C1Cl)C(C(=O)O)N,1
54676038,general,C1=CC=C2C(=C1)C(=C(C(=O)O2)CC3=C(C4=CC=CC=C4OC3=O)O)O,1
2346,general,C1=CC=C(C=C1)CN=C=S,1
5386591,general,C=CCSSC=CCS(=O)CC=C,1
5287991,general,C1CC2C(=O)NC(C(=O)C(=O)NC(C(=O)NC(C=CC(=O)NCC(C(=O)N2C1)NC=O)CC3=CC=C(C=C3)O)CC4=CC=CC=C4)CCCN=C(N)N,1
11528958,Myeloperoxidase,CC(C)OCCN1C2=C(C(=O)NC1=S)NC=C2,1
71571306,Myeloperoxidase,COC1=C(C=C(C=C1)Cl)C2=CC(=O)NC(=S)N2CC(=O)N,1
10264211,Myeloperoxidase,C1CC(OC1)CN2C3=C(C(=O)NC2=S)NC=N3,1
121362450,Myeloperoxidase,CC(C1=C(C=CC(=C1)Cl)CN2C3=C(C(=O)NC2=S)NC=C3)N,1
3194,TRV,C1=CC=C(C=C1)N2C(=O)C3=CC=CC=C3[Se]2,1
5350,TRV,CS(=O)CCCCN=C=S,1
5971,TRV,C=CCN=C=S,1
7847,TRV,C=CC=O,1
10757,TRV,C1=CC=C(C=C1)C(=O)CCl,1
17604,TRV,C1=CC=C(C(=C1)C=C(C#N)C#N)Cl,1
31244,TRV,COC1=CC=C(C=C1)C=O,1
65036,TRV,C=CCSS(=O)CC=C,1
70261,TRV,CN1C(=O)C=CC1=O,1
447466,TRV,CC=CC=O,1
5280880,TRV,CCCCCC(C=CC1C=CC(=O)C1CC=CCCCC(=O)O)O,1
5283344,TRV,CCCCCC(C=CC=O)O,1
5319022,TRV,CCCC=C1C2=C(C=CCC2)C(=O)O1,1
5321950,TRV,CC=C(C)C=O,1
5364752,TRV,CCC=CC=O,1
10084135,TRV,CC=CC=CC=CCCC=CC(=O)NCC(C)(C)O,1
12315512,TRV,CCCCCC=CC(=O)CCC1=CC(=C(C=C1)O)OC,1
12480411,TRV,CC(=O)C=C1C2=CC=CC=C2N(C1=O)C,1
18524489,TRV,COCCCN(C1=NC(=CS1)C2=CC=C(C=C2)OC)C(=O)CCl,1
53412232,TRV,CCCCCCCCC=C(CCCCCCCC(=O)[O-])[N+](=O)[O-],1
53443082,TRV,CS(=O)(=S)OCCN,1
53788247,TRV,CC1=NSC=C1C2=NNC(=N2)C,1
53790973,TRV,CCOC=C(C(=O)C1CC1)C(=O)C2=C(C(=C(C=C2)Cl)Cl)N(C)C(=O)OCC,1
66624158,TRV,C1=CC=C2C(=C1)C=NOC3=CC=CC=C23,1
81065532,TRV,CCC(CC(=O)O)CNC(=O)C1=CC=C(C=C1)OCC,1
667594,TRV,COC1=CC=CC(=C1)NC(=O)C=CC2=CC=C(C=C2)Cl,1
680502,TRV,CC(C)(C)C1=CC=C(C=C1)C=CC(=O)NC2=CC3=C(C=C2)OCCO3,1
11561366,TRV,C1CCN(CC1)C2=C(C=CC(=N2)C(F)(F)F)C=CC(=O)NC3=CC=CC4=C3CC(CC4)O,1
1686,Keap,C1=CC=C2C(=C1)C(=O)C=C(O2)C3=CC=C(C=C3)Br,1
2361,Keap,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=CC4=CC=CC=C43,1
10212,Keap,CC(=CCOC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2)C,1
10680,Keap,C1=CC=C(C=C1)C2=CC(=O)C3=CC=CC=C3O2,1
16441,Keap,CC(=C)C1CCC(=CC1)C=O,1
16741,Keap,C1=CC=C(C=C1)CCN=C=S,1
47318,Keap,CC1=C(SSC1=S)C2=NC=CN=C2,1
63041,Keap,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)COS(=O)(=O)C)O)C)O)F)C,1
65064,Keap,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,1
68296,Keap,C1=CSSC1=S,1
70254,Keap,C1=CSC(=S)S1,1
73285,Keap,CC12CCCC(=C)C1CC3C(C2)OC(=O)C3=C,1
125043,Keap,C1C2C(C(S1)CCCCC(=O)NCCCCCCNC(=O)CI)NC(=O)N2,1
148821,Keap,C1C(S1)CC#N,1
400010,Keap,CC1(CCC2(CCC3(C(C2C1)C(=O)C=C4C3(CCC5C4(C=C(C(=O)C5(C)C)C#N)C)C)C)C(=O)O)C,1
400769,Keap,CC1(CCC2(CCC3(C(C2C1)C(=O)C=C4C3(CCC5C4(C=C(C(=O)C5(C)C)C#N)C)C)C)C(=O)OC)C,1
445154,Keap,C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O,1
606180,Keap,CCOC(=O)C1=C(C2=CC=CC=C2N(C1=O)C)Cl,1
637858,Keap,COC1=CC(=CC(=C1OC)OC)C=CC(=O)N2CCC=CC2=O,1
638011,Keap,CC(=CCCC(=CC=O)C)C,1
638278,Keap,C1=CC(=CC=C1C=CC(=O)C2=C(C=C(C=C2)O)O)O,1
736681,Keap,CCOC(=O)C=CC1=CC(=C(C=C1)O)OC,1
825735,Keap,C1CC2=C(C1)SSC2=S,1
1550607,Keap,CC(=CCCC(=CCOC1=CC2=C(C=C1)C=CC(=O)O2)C)C,1
5271566,Keap,CCOC(=O)C=CC(=O)OCC,1
5280343,Keap,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,1
5280569,Keap,C1=CC(=C(C2=C1C=CC(=O)O2)O)O,1
5280961,Keap,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,1
5281614,Keap,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O,1
5281787,Keap,C1=CC=C(C=C1)CCOC(=O)C=CC2=CC(=C(C=C2)O)O,1
5282219,Keap,CC(=CCOC1=CC=C(C=C1)C=CC(=O)C2=C(C=C(C=C2)OCC=C(C)C)OCC(=O)O)C,1
5282259,Keap,CCCCCC=CCC(=CCCCCCCCC(=O)O)[N+](=O)[O-],1
5318834,Keap,COC1=C(C(=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O)O)O,1
5369209,Keap,COC(=O)C=CC(=O)O,1
5472867,Keap,C1=CC=C(C(=C1)C=CC(=O)C=CC2=CC=CC=C2O)O,1
6537099,Keap,C1=CC=C(C=C1)C=C2C(=O)C3=CC=CC=C3O2,1
9817274,Keap,C1C(=CC2=CC(=C(C=C2)O)O)C(=O)C3=C(O1)C=C(C=C3)O,1
10131000,Keap,CC1(CC(CC(N1O)(C)C)OC(=O)C2CC2)C,1
11236073,Keap,C=C(COC(=O)C=CC1=CC(=C(C=C1)O)O)C(COC2C(C(C(C(O2)CO)O)O)O)O,1
12004512,Keap,CC(=O)OC1CC2C(C(=O)C=CC2(C3C1(C45C(O4)C(=O)OC(C5(CC3)C)C6=COC=C6)C)C)(C)C,1
16202704,Keap,CC1(C2CCC3(C=C(C(=O)C=C3C2(C=C(C1=O)C#N)C)C#N)C#C)C,1
16667734,Keap,C1=CC=C(C(=C1)C(=O)O)OC(=O)C=CC(=O)OC2=CC=CC=C2C(=O)O,1
24836820,Keap,CCCCCCCCC(=CCCCCCCCC(=O)O)[N+](=O)[O-],1
44566777,Keap,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3CCC4(C(C3(C)C)CCC5(C4CC=C6C5(CC(C7(C6CC(C(C7)OC(=O)C(=CCCC(C)(C=C)OC8C(C(C(C(O8)C)OC(=O)C(=CCCC(C)(C=C)O)CO)O)O)CO)(C)C)C(=O)OC9C(C(C(C(O9)CO)O)O)OC1C(C(C(C(O1)C)OC1C(C(C(O1)CO)O)O)OC1C(C(C(C(O1)CO)O)O)O)O)O)C)C)C)NC(=O)C)O)O)OC1C(C(C(CO1)O)O)O)O)O,1
44601284,Keap,CC1(C=CC(=O)C(=C1)C#N)C#C,1
44815555,Keap,CC1(CC(C(=O)C(=C1)C#N)(C)C)C,1
53909371,Keap,CC1(C(O1)CC2=C(C=CC3=C2OC(=O)C=C3)OCC4C(O4)(C)C)C,1
56840728,Keap,C1CCC(C(C1)C(=O)N2CCC3=CC=CC=C3C2CN4C(=O)C5=CC=CC=C5C4=O)C(=O)O,1
71618700,Keap,C1=CC=NC(=C1)CNC(=O)NC2=NN=C(O2)C3=CC=CO3,1
71811910,Keap,CC1(CCC2(CCC3(C(C2C1)C(=O)C=C4C3(CCC5C4(C=C(C(=O)C5(C)C)C#N)C)C)C)NC(=O)C(C)(F)F)C,1
73330464,Keap,COC(=O)C=CC(=O)OCCN1C(=O)CCC1=O,1
9929913,Keap,C1=CC=C(C=C1)S(=O)(=O)N2C(=CC3=C2C=C(C=C3)F)C4(C=CC(=O)C=C4)O,1
71226662,Kinase,CC#CC(=O)N1CCCC1C2=NC(=C3N2C=CN=C3N)C4=CC=C(C=C4)C(=O)NC5=CC=CC=N5,1
24939147,Kinase,C=C1CCC2C(C3C1CC(=O)C34CCC5(C4(CC6C5C7C(CCC6=C)C(=C)C(=O)O7)O)O)OC(=O)C2=C,1
44587062,Kinase,CC(C)C(C1=C(C(=C(C(=C1O)C(=O)C(C)C)O)C(C2=C(C(C(=O)C(C2=O)(C)C)(C)C)O)C(C)C)O)C3=C(C(C(=O)C(C3=O)(C)C)(C)C)O,1
91895304,Kinase,CC(=O)OC1CCC(C2C1(C(=O)CCC3C=C(C(C2)O)C(=O)C3=C)C)(C)C,1
2777391,Kinase,C1=CC(=C(C=C1[N+](=O)[O-])C(=O)NC2=CC=NC=C2)Cl,1
156587558,Kinase,C#CC1=NC(=NC=C1)C#CC2=CC3=C(C=C2)N=CN3C4=NC(=NC=C4)N,1
74222427,Kinase,C1CC(CN(C1)C#N)N2C(=C(C(=N2)C3=CC=C(C=C3)OC4=C(C=C(C=C4)F)F)C(=O)N)N,1
2779952,Kinase,C1=C(C=C(C2=C1[N+](=C(S2)C(=O)N)[O-])[N+](=O)[O-])C(F)(F)F,1
9548007,Kinase,C1=C(C=C(C2=C1[N+](=C(S2)C(=O)N)[O-])[N+](=O)[O-])C#N,1
758611,Kinase,C1=CC=C(C(=C1)C2C(=C(SC(=C2C#N)N)N)C#N)F,1
9907134,Kinase,C1=CC=C(C=C1)S(=O)(=O)N2C3=CC=CC=C3C=C2C4(C=CC(=O)C=C4)O,1
482697,Kinase,C1=CC=C2C(=C1)N=C(S2)C3(C=CC(=O)C=C3)O,1
11645581,Kinase,CCCCCCCCC=C(CCCCCCCC(=O)O)[N+](=O)[O-],1
6918502,Misc,CC(=CCC1C(O1)(C)C2C(C(CCC23CO3)OC(=O)C=CC4=CC=C(C=C4)OCCN(C)C)OC)C,1
12911963,Misc,CC1(C(N2C(S1=O)C(C2=O)NC(=O)C3=CC=CC=C3)C(=O)OC(C4=CC=CC=C4)C5=CC=CC=C5)C,1
10772429,Misc,CC1C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N1)CC(C)CO)C)C(C2=CN(C3=CC=CC=C32)C(C)(C)C4CO4)O)C(C)C=C(C)C)CC(C)C)C)C(C)C)C(C5=CC=CC=C5)OC,1
10533601,Misc,CCC(C)C1C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)OC(C(C(=O)N1)NC(=O)C(C)C(C(C)C)O)C)CO)C(C)O)CC2=CC=CC=C2)C)C3=CC=C(C=C3)OC,1
54717174,Misc,CC1C2C=CC3(CO3)C(O2)(OC1C(C)C=C(C)C=CC(=C4C(=O)CNC4=O)O)C,1
19354,Misc,CS(=O)(=O)C=C,1
6570,Misc,CC(=O)C=C,1
6579,Misc,C=CC(=O)N,1
3034010,Misc,CCCCCCCCCCCC(CC1C(C(=O)O1)CCCCCC)OC(=O)C(CC(C)C)NC=O,1
5100616,Misc,C1COC2=C(O1)C=CC(=C2)N(CCC#N)C(=O)CCl,1
129219978,Misc,CC1=C(C=CC(=C1)OC2=CC=CC=C2)N3C4=C5C(=C(SC5=NC=C4)C(=O)NC6CCN(C6)C(=O)C=C)NC3=O,1
12313376,Misc,CC1=C2C(CC1C3=COC=C3)OC4C2(C(C5(C6C4OC(=O)C6(C=CC5=O)C)C)CC(=O)OC)C,1
10241338,Misc,CC=C1C(=O)C=C2C13C(O3)CCN2,1
6450263,Misc,CC=C1C=CC2=NCCC3C12O3,1
4263,Misc,CC1=C(C(=O)NC1(C)O)C(=O)C,1
155804596,Misc,C1=CC(=C(C=C1OS(=O)(=O)F)OCCN2C=CC(=O)NC2=O)OC3=CC(=CC(=C3)C#N)Cl,1
118036971,Misc,CN1CCN(C(=O)C1)CC2=C(N=C3C(=C2)CCCN3C(=O)NC4=NC=C(C(=C4)NCCOC)C#N)C=O,1
5530,Misc,C1C(C1N)C2=CC=CC=C2,1
6438330,Misc,CCCCC(C)C=C(C)C=C(C)C(=O)NC1=CC(C2C(C1=O)O2)(C=CC=CC=CC(=O)NC3=C(CCC3=O)O)O,1
131483428,Misc,C1=CC(=CC=C1CC(C(=O)O)N)S(=O)(=O)F,1
2244,Misc,CC(=O)OC1=CC=CC=C1C(=O)O,1
10172827,Misc,CCNC1=CC2=C(C(=C1)O)C(=O)OC(C(C=CC(=O)C(C(CC=C2)O)O)C)C,1
9849735,Misc,CC(=O)OC1CC2(C(CCC2=O)C3=C1C4(C(OC(=O)C(=CN(CC=C)CC=C)C4=C(C3=O)O)COC)C)C,1
133128,Misc,C1=CC(=CC=C1C(=O)OCC2C(C(C(O2)N3C=NC4=C(N=CN=C43)N)O)O)S(=O)(=O)F.Cl,1
53262909,Misc,CCC1=NC(=C(N1)C)C=C2C3=C(C=CC(=C3)NC(=O)C#C)NC2=O,1
10152654,Misc,CC(C)(CC(C(=O)NC1(CC1)C#N)NC(C2=CC=C(C=C2)C3=CC=C(C=C3)S(=O)(=O)C)C(F)(F)F)F,1
221792,Misc,C=CC(=O)NC1=CC=CC=C1,1
439487,Misc,CC(C)CC(C(=O)NCCCCN=C(N)N)NC(=O)C1C(O1)C(=O)O,1
5280906,Misc,CC=C1CC(C(C(=O)OCC2=CCN3C2C(CC3)OC1=O)(C)O)C,1
5281750,Misc,CC=C1CC(=C)C(C(=O)OCC2=CCN3C2C(CC3)OC1=O)(C)O,1
794323,Misc,CCOC(=O)C1=C(NC(=S)NC1C2=CC(=CC=C2)O)C,1
6918408,Misc,CN1C=C(C=C1C(=O)NCCN=C(N)N)NC(=O)C2=CC(=CN2C)NC(=O)C3=CC(=CN3C)NC(=O)C4=CC(=CN4C)NC(=O)C(=C)Br,1
100324,Misc,C1=C(C(=O)C(=CC1(CC(=O)N)O)Br)Br,1
